Study#,SL,Title,Year,Limitations & Future Works
S103,103,Is this question going to be closed? Answering question closibility on Stack Exchange,2022,"Limitations [The authors explicitly acknowledge that the proposed system relies on manually selected features, noting that “it was difficult to find the optimal number of features when the system was tested on 11 different topics,” which may limit optimality and scalability of the feature set across domains (Section 6 Conclusion, limitations and future scope, p. 14); they also explicitly note that the study uses only English-language questions, which limits applicability to non-English CQAs and multilingual settings (Section 6 Conclusion, limitations and future scope, p. 14); additionally, although the dataset spans 11 Stack Exchange topics, the approach is still evaluated only within the Stack Exchange network, which may limit generalizability to other CQA platforms with different moderation policies and community norms (Section 6 Conclusion, limitations and future scope, p. 14)];

Future Work [The authors explicitly state that future work should replace manual feature selection with automated approaches, suggesting neural network–based frameworks such as CNN, LSTM, and BERT to automatically learn optimal features for predicting question closibility (Section 6 Conclusion, limitations and future scope, p. 14); they also explicitly propose testing the model on other CQA platforms such as Quora and Yahoo! Answers to improve generalizability (Section 6 Conclusion, limitations and future scope, p. 14); additionally, they state that future research should develop language-independent models and grammar-correction mechanisms to better handle non-English questions and grammatical errors in user posts (Section 6 Conclusion, limitations and future scope, p. 14)]; "
S104,104,Improving Stack Overflow question title generation with copying enhanced CodeBERT model and bi-modal information,2022,"Limitations [The authors explicitly acknowledge that the constructed dataset is limited to high-quality Stack Overflow questions filtered by heuristic rules (e.g., accepted answers, votes, interrogative constraints), which may exclude other useful but differently formulated questions and thus limit generalizability (Section 7 Threats to Validity, p. 13); they also explicitly note that the study focuses only on questions written in four programming languages supported by CodeBERT (Java, Python, JavaScript, and PHP), which restricts applicability to other languages and domains (Section 3.1 Data Preparation; Section 7 Threats to Validity, p. 13); additionally, the authors acknowledge that handling very long question bodies remains challenging, as posts exceeding length thresholds are filtered out, potentially biasing the dataset toward shorter and cleaner questions (Section 3.1 Data Preparation; Section 7 Threats to Validity, p. 13)];

Future Work [The authors explicitly state that future work will explore better ways to handle long question bodies and complex bi-modal contexts to further improve title generation performance (Section 8 Conclusion and Future Work, p. 13); they also explicitly propose extending the approach to more programming languages and broader datasets to improve robustness and generalizability beyond the current experimental setting (Section 8 Conclusion and Future Work, p. 13)]; "
S105,105,Analyzing Techniques for Duplicate Question Detection on Q&A Websites for Game Developers,2022,"Limitations [The authors explicitly acknowledge that the study focuses on Q&A websites for game developers, primarily the Game Development Stack Exchange and Stack Overflow, which may limit the generalizability of the findings to other Q&A domains or communities with different characteristics (Section 7 Threats to Validity – External Validity); they also explicitly note that the labelled duplicate datasets are relatively small and sparse, as duplicate questions represent only a small fraction of all questions, which may affect the robustness of supervised models despite mitigation through sampling strategies (Section 3.1 Data Collection; Section 7 Threats to Validity – Internal Validity); additionally, the authors acknowledge that candidate question selection prior to training may introduce bias toward the similarity metrics used for candidate generation, potentially influencing evaluation results (Section 3.4 Training Supervised Classifier Models; Section 7 Threats to Validity – Construct Validity)];

Future Work [The authors explicitly state that future work should explore applying and validating the proposed duplicate question detection techniques on other Q&A websites and domains beyond game development to further assess generalizability (Section 8 Conclusion); they also explicitly propose investigating additional techniques and representations, as well as improving supervised models with better candidate selection strategies and richer features, to further enhance duplicate detection performance in low-resource Q&A communities (Section 8 Conclusion)]; "
S106,106,The reproducibility of programming-related issues in Stack Overflow questions,2022,"Limitations [The authors explicitly acknowledge that the study relies on extensive manual analysis (300 person-hours) by a small group of experienced developers, which may introduce subjectivity despite cross-checking and agreement procedures, posing a threat to construct and internal validity (Section 6 Threats to Validity, pp. 45–46); they also explicitly note that the study focuses only on Java and Python questions from Stack Overflow, which limits the generalizability of the findings to other programming languages, ecosystems, and Q&A platforms (Section 6 Threats to Validity – External Validity, p. 46); additionally, the reproducibility assessment is performed under specific IDEs, library versions, and environments, and different environments or configurations may lead to different reproducibility outcomes, which the study cannot fully control (Section 6 Threats to Validity – Internal Validity, p. 45)];

Future Work [The authors explicitly state that future work will focus on developing automated tool support to help developers improve the reproducibility of code examples when submitting Stack Overflow questions, building on the identified challenges and editing actions (Section 8 Conclusion and Future Work, p. 47); they also explicitly propose extending the investigation to other programming languages and domains beyond Java and Python to validate whether the observed reproducibility patterns and impacts on answer quality generalize more broadly (Section 8 Conclusion and Future Work, p. 47)]; "
S107,107,Studying the Long-Term Value Answers on Stack Overflow,2022,"Limitations [The authors explicitly acknowledge that the study focuses only on Stack Overflow data, and therefore “it is not clear whether our findings still hold on other Q&A sites,” which limits the generalizability of the results beyond Stack Overflow (Section 6.2 Threats to Validity – External Validity, p. 25); they also explicitly note that the categorization of long-term and short-term value answers relies on threshold-based definitions (top 5% and bottom 5% based on the proportion of months receiving upvotes), and although alternative thresholds were tested, different choices may still lead to different observations, posing an internal validity limitation (Section 6.2 Threats to Validity – Internal Validity, p. 25); additionally, the authors explicitly state that their regression analysis identifies associations rather than causation between factors and long-term answer value, meaning causal relationships cannot be concluded from the study (Section 6.2 Threats to Validity – Internal Validity, p. 25)];

Future Work [The authors explicitly state that future research is encouraged to investigate the causal relationships between the identified factors and the likelihood of an answer having long-term value, beyond correlation analysis (Section 6.2 Threats to Validity – Internal Validity, p. 25); they also explicitly propose replicating the analysis on other Q&A platforms to examine whether the observed patterns of long-term value answers generalize beyond Stack Overflow (Section 6.2 Threats to Validity – External Validity, p. 25); additionally, they explicitly suggest developing tools to help predict and identify long-term value answers and to assist users in creating and maintaining such answers (Section 7 Conclusion, p. 26)]; "
S108,108,Towards Quality Improvement and Prediction of Closed Questions on Stack Overflow,2022,"Limitations [The authors explicitly acknowledge that the dataset is highly imbalanced, with the “open” class dominating the distribution, making multiclass closed-question prediction a challenging task and limiting classification performance for minority classes such as “too-broad” and “unclear” (Section 4 Results and Discussion, pp. 11–12); they also explicitly note that certain informative features available in the Kaggle dataset (e.g., ReputationAtPostCreation and OwnerUndeletedAnswerCountAtPostTime) are not present in the Stack Overflow data dump, which may cause differences in performance and limits feature completeness (Section 3.1 Dataset, p. 7); additionally, the study relies solely on Stack Overflow data, which limits the generalizability of the findings to other community question answering platforms with different moderation policies and user behavior (Section 5 Conclusion, p. 14)];

Future Work [The authors explicitly state that future work will explore more effective techniques to handle highly imbalanced datasets in closed-question prediction (Section 5 Conclusion, p. 14); they also explicitly propose adding a suggestion module that can provide real-time feedback and recommendations to users to help them improve question quality before posting (Section 5 Conclusion, p. 15)]; "
S109,109,Context-Aware Answer Selection in Community Question Answering Exploiting Spatial Temporal Bidirectional Long Short-Term Memory,2023,"Limitations [The authors explicitly acknowledge that existing answer selection approaches, including deep learning and attention-based models, suffer from limitations such as lexical and semantic gaps between questions and answers, noise in natural language text, and bias introduced by voting-based mechanisms, which motivates the need for more context-aware modeling (Section 2 Related Work, pp. 2–4); they also implicitly limit generalizability by evaluating the proposed model only on the SemEval CQA benchmark dataset, which may not fully represent other community question answering platforms with different domains, languages, or interaction patterns (Section 5 Experimental Setup, p. 10)];

Future Work [The authors explicitly state that “in the future, the proposed model may be extended with an attention base mechanism to focus on the significant parts of the text while computing question to answer and answer to answer similarity,” indicating plans to integrate attention mechanisms into the spatial–temporal Bi-LSTM framework to further improve answer selection performance (Section 7 Conclusion, p. 14)] "
S110,110,A novel hybrid CNN-LSTM approach for assessing Stack Overflow post quality,2023,"Limitations [The authors explicitly acknowledge that the proposed hybrid CNN–LSTM model is evaluated only on Stack Overflow questions, which limits the generalizability of the findings to other community question answering platforms such as Quora or MSDN (Section 7 Conclusion and future work, p. 14); they also explicitly note that although the proposed model achieves high accuracy, the precision, recall, and F1-score remain relatively low and identical across several deep learning models, indicating room for improvement in class discrimination and balance (Section 4 Results and discussion, pp. 10–11); additionally, the authors implicitly acknowledge that the dataset is imbalanced across the four quality classes (very good, good, bad, very bad), which negatively affects recall and F1-score and constrains model robustness (Section 4 Results and discussion, pp. 10–11)];

Future Work [The authors explicitly state that future work will focus on further improving the accuracy of the proposed model by experimenting with additional features, alternative classifiers, and data balancing methods to improve recall and F1-score (Section 7 Conclusion and future work, p. 14); they also explicitly plan to test the performance of the proposed approach on other software engineering community question answering datasets such as Quora and MSDN to assess generalizability beyond Stack Overflow (Section 7 Conclusion and future work, p. 14)]; "
S111,111,Diverse title generation for Stack Overflow posts with multiple-sampling-enhanced transformer,2023,"Limitations [The authors explicitly acknowledge that generating titles solely from code snippets suffers from inherent ambiguity because the same code can correspond to different problem contexts, which limits the ability of the model to always generate the exact intended title without surrounding textual descriptions (Section 1 Introduction; Section 5 Discussion of Limitations, pp. 2, 13); they also explicitly note that the maximal marginal multiple nucleus sampling strategy improves diversity but may still include lower-quality samples due to the randomness of sampling, indicating a trade-off between diversity and quality that cannot be fully eliminated (Section 5 Discussion of Limitations, p. 13); additionally, the constructed dataset consists only of high-quality Stack Overflow posts filtered by heuristic rules, which may bias the model toward well-formed questions and limit generalizability to noisier or low-quality real-world posts (Section 3.1 Data Preparation; Section 5 Discussion of Limitations, pp. 5, 13)];

Future Work [The authors explicitly state that future work will explore incorporating additional contextual information beyond code snippets, such as surrounding text descriptions, to further reduce ambiguity in title generation (Section 8 Conclusion and Future Work, p. 14); they also explicitly propose investigating more advanced sampling and ranking strategies to better balance diversity and quality when generating multiple titles (Section 8 Conclusion and Future Work, p. 14); additionally, they plan to extend the approach to more programming languages and broader datasets to further validate robustness and applicability (Section 8 Conclusion and Future Work, p. 14)]; "
S112,112,Dual-interactive fusion for code-mixed deep representation learning in tag recommendation,2023,"Limitations [The authors explicitly acknowledge that the proposed CDR4Tag approach assumes that tags associated with software objects are correct, but tagging errors due to cognitive mistakes or spelling errors are unavoidable, which may introduce experimental errors and biased results despite filtering low-frequency tags and using older data (Section 5.6.2 Limitation, p. 11)];

Future Work [The authors explicitly state that future work will focus on reducing threats to validity by experimenting with more software objects from additional software information sites (Section 6 Conclusion and future work, p. 11); they also explicitly propose exploring additional heuristics in the connective semantic interaction module to improve sentence matching accuracy (Section 6 Conclusion and future work, p. 11); additionally, they plan to experiment with larger pre-trained models such as BERTlarge and investigate more efficient encoders to further improve semantic representation quality (Section 6 Conclusion and future work, p. 11); finally, they explicitly state that future work will incorporate additional modalities, such as screenshots currently removed from descriptions, to extend the model beyond textual and code information (Section 6 Conclusion and future work, p. 11)];"
S113,113,KEIC: A Tag Recommendation Framework with Knowledge Enhancement and Interclass Correlation,2023,"Limitations [The authors explicitly acknowledge that the proposed KEIC framework assumes the availability and correctness of external knowledge graphs (e.g., ConceptNet and CN-DBpedia), and noisy or incomplete knowledge triples may introduce irrelevant information and negatively affect tag recommendation performance (Section 3.1 Knowledge Integration; implicit limitation discussed through design constraints, pp. 5–6); they also implicitly acknowledge that the framework increases model complexity and memory consumption due to the integration of knowledge enhancement and multiple correlation networks, which may limit scalability for very large tag spaces or resource-constrained environments (Section 4.4 Experiment settings; discussion around model size and CorNet stacking, pp. 8–9); additionally, the evaluation is conducted on three datasets (Baidu Knows, Freecode, and Stack Overflow), which, although diverse, may still limit generalizability to other domains, languages, or non-Q&A tagging scenarios (Section 4.1 Datasets; Section 5 Conclusion, pp. 7, 11)];

Future Work [The authors explicitly state that future work will explore incorporating richer and more diverse external knowledge sources to further enhance semantic understanding beyond the currently used knowledge graphs (Section 5 Conclusion, p. 11); they also explicitly propose extending the KEIC framework to additional datasets and application scenarios to further validate robustness and applicability, especially in large-scale and real-world environments with evolving tag vocabularies (Section 5 Conclusion, p. 11); additionally, they indicate interest in further optimizing the framework to better balance performance gains and computational overhead when handling extremely large tag spaces (Section 5 Conclusion, p. 11)]; "
S114,114,Textual tag recommendation with multi-tag topical attention,2023,"Limitations [N/A];

Future Work [The authors explicitly state that future work will explore how to leverage contextualized representations of posts to further improve the topic generation process, aiming to make the learned topics more suitable for tag recommendation (Section 5 Conclusions and future work, p. 82); they also explicitly indicate plans to investigate domain-specific language models as the sequence encoder, in order to better exploit domain knowledge and further enhance tag recommendation performance (Section 5 Conclusions and future work, p. 82)]; "
S115,115,Duplicate Quora Questions Pair Detection using Siamese Bert and Ma-LSTM,2023,"Limitations [The authors explicitly acknowledge that the proposed models are trained and evaluated only on English-language Quora question pairs, which limits applicability to multilingual settings and non-English duplicate question detection (Section VIII Conclusion, p. 196); they also implicitly note that the approach is evaluated solely on the Quora platform, which may limit generalizability to other community question answering sites with different linguistic styles and user behaviors (Section I Introduction; Section VIII Conclusion, pp. 191–196); additionally, the performance comparison shows that some models (e.g., Manhattan distance LSTM) struggle to capture deep semantic similarity, indicating architectural limitations for certain model choices in handling nuanced paraphrases (Section V Result Analysis and Observations, pp. 194–195)];

Future Work [The authors explicitly state that future work will focus on extending the models to support multilingual duplicate question detection by training on multilingual datasets (Section VIII Conclusion, p. 196); they also explicitly propose deploying the trained models in real-time production environments on platforms like Quora to automatically detect duplicate questions and improve user experience (Section VIII Conclusion, p. 196)]; "
S116,116,Predicting answer acceptability for question-answering system,2023,"Limitations [The authors explicitly acknowledge that the proposed study is limited to Stack Overflow data only, which may restrict the generalizability of the findings to other QA platforms such as Quora, GitHub, or ResearchGate that have different user behavior and acceptance mechanisms (Section 6 Conclusion, p. 12); they also explicitly note that the study focuses solely on predicting answer acceptability and does not address the distinction between an accepted answer and the objectively best or highest-quality answer, which is a conceptual limitation of the work (Section 6 Conclusion, p. 12); additionally, the approach relies on handcrafted textual and non-textual features, and the effectiveness of the model is constrained by the quality and completeness of these manually engineered features (Section 4.1 Features for prediction of answer acceptance; Section 6 Conclusion, pp. 5, 12)];

Future Work [The authors explicitly state that future work will explore comparing accepted answers with best answers, indicating an extension toward understanding the gap between subjective acceptance and objective answer quality (Section 6 Conclusion, p. 12); they also explicitly propose implementing deep learning–based models such as CNN, RNN, and LSTM to overcome the limitations of handcrafted features and further improve prediction performance (Section 6 Conclusion, p. 12); additionally, they suggest adapting the proposed model to other community question answering systems with minor changes in the feature set to broaden applicability (Section 6 Conclusion, p. 12)]; "
S117,117,Automatic prediction of rejected edits in Stack Overflow,2023,"Limitations [The authors explicitly acknowledge that the manual analysis of rejected edits and the derivation of rejection reasons rely on human judgment, which may introduce subjectivity despite achieving a very high inter-rater agreement (Cohen’s ? = 0.98), posing a construct validity concern (Section 6 Threats to Validity); they also explicitly note that the study focuses only on rollback-based rejected edits and does not consider edits rejected through expert review, which may limit the completeness of rejection behavior captured (Section 6 Threats to Validity); additionally, the evaluation of EditEx is based on a relatively small-scale user study with 20 participants, which limits the generalizability of the usability and effectiveness findings (Section 6 Threats to Validity)];

Future Work [The authors explicitly state that future work will focus on improving the rejection reason classifier to better identify complex cases with multiple rejection reasons, such as incorrect text or code changes, where current performance is limited (Section 7 Discussion); they also explicitly propose enhancing EditEx with additional NLP-based features (e.g., spelling and sentence complexity analysis) and richer feedback mechanisms to further assist users during editing (Section 4.5.3 Recommendations for EditEx Improvements); additionally, they indicate future work on extending EditEx to support broader editing scenarios and integrating it more tightly with the Stack Overflow editing workflow (Section 7 Discussion and Conclusion)]; "
S118,118,Automated Question Title Reformulation by Mining Modification Logs From Stack Overflow,2023,"Limitations [The authors explicitly acknowledge that the constructed dataset is derived only from Stack Overflow modification logs and focuses on six popular programming languages, which may limit the generalizability of the findings to other programming languages, domains, or Q&A platforms (Section VII Discussion on Generalization and Limitations, pp. 4407–4408); they also note that the dataset is built using heuristic filtering rules (e.g., minimum score and accepted answers), which may bias the data toward high-quality posts and exclude other useful but noisier title reformulation cases (Section II Data Collection; Section VII Discussion, pp. 4392–4393, 4407); additionally, the approach relies on historical human edits as ground truth, and thus inherits potential biases or suboptimal reformulation choices made by editors in practice (Section VII Discussion on Generalization and Limitations, p. 4408)];

Future Work [The authors explicitly state that future work will extend the title reformulation task to more programming languages and broader datasets beyond the six studied languages to further validate robustness and generalizability (Section IX Conclusion, p. 4410); they also explicitly propose improving QETRA by incorporating richer contextual information and more advanced modeling techniques to better handle complex or large-scale title reformulation cases (Section IX Conclusion, p. 4410); additionally, they indicate future work on enhancing and deploying the browser plugin to better support developers during real-world question editing and title refinement (Section IX Conclusion, p. 4410)]; "
S119,119,Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT Answers to Stack Overflow Questions,2024,"Limitations [The authors explicitly acknowledge that the study analyzes ChatGPT answers generated using the free version of ChatGPT (GPT-3.5), and therefore the findings may not generalize to newer or more capable models (e.g., GPT-4 or later versions) whose behavior and answer quality may differ (Section 9 Limitations, p. 15); they also explicitly note that the user study involves only 12 participants, which limits the statistical power and generalizability of conclusions about programmer preferences and perceptions (Section 9 Limitations, p. 15); additionally, the analysis is limited to 517 sampled Stack Overflow questions and focuses on a fixed set of quality dimensions (correctness, consistency, comprehensiveness, conciseness), which may not capture all aspects of answer usefulness or represent the full diversity of programming questions (Section 9 Limitations, p. 15)];

Future Work [The authors explicitly state that future work should explore designing interactive and computational methods to detect, highlight, and mitigate misinformation in ChatGPT answers to programming questions, particularly in AI-assisted programming workflows (Section 8 Discussion and Future Work, pp. 13–14); they also explicitly propose developing tool support to help users verify correctness, such as linking generated answers to official documentation or enabling in-situ code execution and validation (Section 8 Discussion, pp. 13–14); additionally, they indicate future research directions involving broader evaluations across models, domains, and user populations to better understand the long-term impact of ChatGPT on programmer help-seeking behavior and software quality (Section 8 Discussion and Future Work, pp. 14–15)]; "
S120,120,Identifying Smart Contract Security Issues in Code Snippets from Stack Overflow,2024,"Limitations [The authors explicitly acknowledge that SOChecker relies on tag-based filtering (e.g., “Solidity”, “Ethereum”, “ERC20”, “ERC721”) to collect Stack Overflow posts, which may miss relevant smart-contract-related discussions that are not properly tagged, potentially affecting coverage (Section 6 Threats to Validity – Internal Threats, p. 11); they also explicitly note that they do not directly trace whether vulnerable Stack Overflow code snippets are actually deployed on the Ethereum blockchain due to the impracticality of analyzing the vast amount of on-chain data, which limits conclusions about real-world exploitation (Section 6 Threats to Validity – External Threats, p. 11); additionally, the approach depends on LLM-based code completion, and incorrect or semantically altered completions may patch or modify original vulnerabilities, leading to false negatives that pruning cannot fully address (Section 5.3 RQ3 Discussion, pp. 10–11)];

Future Work [N/A]; "
S121,121,Can We Identify Stack Overflow Questions Requiring Code Snippets? Investigating the Cause & Effect of Missing Code Snippets,2024,"Limitations [The authors explicitly acknowledge that the study is conducted only on Stack Overflow data, and therefore “we cannot guarantee the same findings for other Q&A sites,” which limits the generalizability of the results beyond Stack Overflow (Section V Threats to Validity – External Validity, p. 9); they also explicitly note that the identification of questions requiring code snippets relies on a manually curated set of seventeen key phrases (e.g., “add code,” “show your code”), which may not capture all relevant cases and can introduce false positives or false negatives despite subsequent manual validation (Section V Threats to Validity – Internal Validity, p. 9); additionally, the study involves substantial manual analysis and annotation by a small number of annotators, which, although supported by very high inter-rater agreement (? = 0.99), still introduces potential subjectivity and construct validity concerns (Section III-A Dataset Construction; Section V Threats to Validity, pp. 4–5, 9)];

Future Work [The authors explicitly state that their findings motivate the development of automated support to help users decide, at question submission time, whether their questions require code snippets, suggesting future work on building practical tool support or IDE/Stack Overflow–integrated assistants based on the proposed prediction models (Section I Introduction; Summary of RQ2 and RQ3, pp. 2, 9); they also implicitly suggest extending the approach to other Q&A platforms and broader contexts to validate whether the observed effects of missing code snippets and the proposed prediction techniques generalize beyond Stack Overflow (Section V Threats to Validity – External Validity, p. 9)]; "
S122,122,AUTOGENICS: Automated Generation of Context-Aware Inline Comments for Code Snippets on Programming Q&A Sites Using LLM,2024,"Limitations [The authors explicitly acknowledge that LLM-generated inline comments are less effective for shorter code snippets and may introduce noisy or unnecessary comments, particularly for trivial statements such as imports or print statements, which reduces overall usefulness without additional filtering (Section X Conclusion; Section VIII Threats to Validity, pp. 32–33); they also explicitly note that the study focuses only on two programming languages (Java and Python), which limits the generalizability of the findings to other languages with different syntax and commenting conventions (Section VIII Threats to Validity – External Validity, p. 32); additionally, the evaluation relies on manual assessment and a relatively small user study with 14 participants, which, despite high agreement, may still introduce subjectivity and limit broader generalization (Section VIII Threats to Validity – Internal and Statistical Conclusion Validity, pp. 32–33)];

Future Work [The authors explicitly state that future work will explore evaluating the effectiveness of AUTOGENICS across additional programming languages and other Q&A platforms beyond Stack Overflow to assess broader applicability (Section X Conclusion, p. 33); they also explicitly plan to conduct expert surveys and collect richer user feedback to further refine AUTOGENICS and improve its usability and practical integration based on practitioner needs (Section X Conclusion, p. 33)]; "
S123,123,"Reproducibility of issues reported in stack overflow questions: Challenges, impact & estimation",2024,"Limitations [The authors explicitly acknowledge that the reproducibility analysis is largely grounded in Stack Overflow questions related mainly to Java and a smaller validation set of C#, which may limit the generalizability of the findings to other programming languages, ecosystems, or non–object-oriented paradigms (Section 5 Threats to Validity – External Validity, p. 15); they also explicitly note that the manual assessment of issue reproducibility and challenge identification involves human judgment, which can introduce subjectivity despite using multiple evaluators and prior validated challenge catalogs (Section 5 Threats to Validity – Construct Validity, p. 15); additionally, the machine learning models are trained on a relatively modest-sized labeled dataset (357 questions), which may constrain model robustness and scalability when applied to much larger or more diverse real-world datasets (Section 5 Threats to Validity – Internal Validity, p. 15)];

Future Work [The authors explicitly state that future work includes developing practical tool support (e.g., browser or IDE plugins) that leverage the proposed reproducibility predictors to assist question askers in improving code snippets before submission (Section 6 Conclusion, p. 16); they also explicitly propose extending the reproducibility prediction framework to additional programming languages and larger datasets to further validate generalizability and effectiveness (Section 6 Conclusion, p. 16); additionally, they indicate interest in integrating more advanced features and learning techniques to better capture complex reproducibility challenges beyond static code characteristics (Section 6 Conclusion, p. 16)]; "
S124,124,PTM4Tag+: Tag recommendation of stack overflow posts with pre-trained models,2024,"Limitations [The authors explicitly acknowledge that PTM4Tag+ relies on transformer-based pre-trained models with a fixed maximum input length (512 subtokens), requiring truncation strategies (e.g., head-only or tail-only truncation), which may discard potentially useful information from long Stack Overflow posts and thus affect tag recommendation performance (Section 3.1.2 Tokenization; Section 5 Results and Analysis, pp. 11, 20); they also explicitly note that the framework involves three PTMs (for title, description, and code), which increases model size and inference latency, making deployment more challenging despite experiments with smaller PTMs (Section 1 Introduction; Section 4.4 Implementation; Section 5 Results, pp. 3–4, 16); additionally, the study is conducted solely on Stack Overflow data, which limits the generalizability of the findings to other software information sites or tagging scenarios with different tag vocabularies and user behaviors (Section 6 Threats to Validity, p. 28)];

Future Work [The authors explicitly state that future work will investigate leveraging Seq2Seq pre-trained models more broadly as baseline representations for Stack Overflow posts, encouraging further exploration of encoder–decoder PTMs in multi-label classification tasks (Section 1 Introduction; Section 5 Results and Analysis, pp. 4, 18); they also explicitly propose further optimizing PTM4Tag+ to reduce inference latency and improve deployability, including experimenting with more compact or efficient pre-trained models (Section 1 Introduction; Section 5 Results, pp. 4, 16); additionally, they indicate future work on extending and validating the framework on other datasets and software information platforms beyond Stack Overflow to assess robustness and generalizability (Section 6 Threats to Validity; Section 8 Conclusion and Future Work, pp. 28, 41)]; "
S125,125,Towards Better Answers: Automated Stack Overflow Post Updating,2025,"Limitations [The authors explicitly acknowledge that the constructed high-quality dataset still contains noise, as SOUPp achieves 80.8% precision, implying that approximately 19.2% of the automatically identified valid comment–edit pairs may be incorrect, which can negatively affect downstream model training (Section IV-C.1 Automatic Post Updating, p. 6); they also explicitly note that the study focuses exclusively on Java Stack Overflow posts and single-code-block edits, which limits the generalizability of the findings to other programming languages, multi-block edits, and broader software development contexts (Section IV-B.1 Full-scale dataset preparation; Section VIII Threats to Validity – External Validity, pp. 4, 11); additionally, the authors explicitly acknowledge that the proposed APU model struggles with complex comments that imply major functional changes or lack concrete editing guidance, which limits its effectiveness for weakness-type or highly abstract comments (Section V-B.4 Manual Analysis, pp. 8–9); they also note that Exact Match is a conservative metric that underestimates true model capability, since semantically equivalent but syntactically different code updates are counted as errors (Section VIII Threats to Validity – Construct Validity, p. 11)];

Future Work [The authors explicitly state that future work will focus on designing automated methods that do not rely on manual annotations or handcrafted rules to further improve valid comment–edit prediction precision and reduce noise in the constructed dataset (Section IV-C.1 Automatic Post Updating, p. 6); they also explicitly propose extending the SOUP framework to other programming languages and platforms beyond Java Stack Overflow posts to improve generalizability (Section VIII Threats to Validity – External Validity, p. 11); additionally, they indicate future research directions on better integrating large language models with Stack Overflow knowledge to handle more complex update scenarios and further enhance real-world applicability (Section VI Discussion – LLMs versus Stack Overflow, p. 11)]; "
S126,126,Does Editing Improve Answer Quality on Stack Overflow? A Data-Driven  Investigation,2025,"Limitations [The authors explicitly note that the study focuses only on Python-related Stack Overflow answers, which limits the generalizability of the findings to other programming languages and ecosystems (Section V Threats to Validity – External Validity, p. 10); they also acknowledge that behavioral similarity between the initial and edited versions of code is not explicitly evaluated, meaning some observed changes in complexity or optimization may stem from semantic differences that are difficult to measure automatically (Section V Threats to Validity – Construct Validity, p. 10); additionally, the authors mention that code extraction based on HTML tags may occasionally include non-code content (e.g., stack traces), which could affect parsability, executability, and readability analyses, although this impact was found to be minimal based on manual inspection (Section V Threats to Validity – Internal Validity, p. 10)];

Future Work [The authors explicitly state that future work includes introducing an automated tool to assess answer revisions in real time by detecting changes in code complexity, vulnerabilities, and readability, with the goal of supporting editors and moderators during the editing process (Section VII Conclusion and Future Work, p. 11); they also implicitly suggest extending the analysis to other programming languages and broader datasets to further validate and generalize the observed effects of edits on answer quality (Section V Threats to Validity – External Validity; Section VII Conclusion and Future Work, pp. 10–11)]; "
S127,127,Detecting question relatedness in programming Q&A communities via bimodal feature fusion,2025,"Limitations [The authors explicitly acknowledge that the proposed bimodal approach may still struggle with question pairs exhibiting subtle or complex semantic relatedness, even when both text and code information are available, as illustrated in the case study where both unimodal and bimodal models failed to correctly classify directly related questions (Section 6.1 Discussion, pp. 23–24); they also note that the effectiveness of the approach is constrained by the limited input sequence length of pre-trained language models and by variability in the quantity and quality of code snippets in question posts, which can affect how representative the extracted code features are (Section 6.1 Discussion, p. 24); additionally, the authors acknowledge potential external validity limitations, as the evaluation is conducted only on Stack Overflow and a single MOOC dataset, which may limit generalizability to other programming Q&A communities or domains (Section 6.2 Threats to Validity – External Validity, p. 25)];

Future Work [The authors explicitly state that future work will focus on refining the fusion of bimodal features and exploring optimized weighting strategies for combining relatedness scores from text and code modalities to better handle complex semantic cases (Section 6.1 Discussion, p. 24); they also propose investigating methods for selecting the most representative code snippets when multiple or low-quality snippets are present (Section 6.1 Discussion, p. 24); additionally, they indicate plans to apply the proposed approach to more related tasks in the PCQA domain and to develop automated tools that assist users in finding similar questions (Section 7 Conclusion, p. 25)]; "
