Study#,SL,Title,Year,Target Q&A Site,Quality Metric,Label Coding Manual
S107,107,Studying the Long-Term Value Answers on Stack Overflow,2022,Stack Overflow,"Question (Q Upvote, Q AnswerN, Q Total/Max Answer Score); Tag (T Number, T Max/Min/Total/Mean - QN Median Upvote, T -Max/Min/Total/Mean - An Median Upvote, T -
Max/Min/Total/Mean - N Answer,
T -Max/Min/Total/Mean - N Question); Asker (AK -
Mean/Median/Sum - QN Upvote, AK Mean/Sum/Me- dian AN Upvote,
AK Number Question, AK Number Answer); Answer (A Body Length, A Code Length, A Code Percentage, A URL Number, A Revision Number); Answerer (AN Number Answer, AN Number Question, AN To-
tal/Median/Max - Q Upvote, AN Total/Median/Max - A Upvote) Details Table 2, Page 16","Readability and Linguistic Complexity [A Body Length, A Code Length];
Clarity, Relevance, and Supporting Resources [A Code Percentage];
Community Engagement and Activity [Q AnswerN, T Number, AK Number Question, AK Number Answer];
Reputation and Social Authority [Q Upvote,  AK Mean/Median/Sum - QN Upvote, AN Number Answer, AN Number Question,  AK Mean/Sum/Median AN Upvote, AN Total/Median/Max - Q Upvote, AN Total/Median/Max - A Upvote, Q Total/Max Answer Score, T Max/Min/Total/Mean - QN Median Upvote, T Max/Min/Total/Mean - An Median Upvote, T Max/Min/Total/Mean - N Answer, T Max/Min/Total/Mean - N Question];
Post Popularity and Metadata [A URL Number, A Revision Number];"
S108,108,Towards Quality Improvement and Prediction of Closed Questions on Stack Overflow,2022,Stack Overflow,"duplicate, open, off-topic, unclear, too-broad, opinion-based; Feature - Tag popularity Score, Title Polarity, Title Subjectivity, Image Count, Hyperlink Count","Content Accuracy and Informativeness [Duplicate, Open, Off-topic, Unclear, Too-broad, Opinion-based, Title Subjectivity];
Post Popularity and Metadata [Image Count, Hyperlink Count];
Affect and Sentiment Analysis [Title Polarity];
Tag Relevance and Specificity [Tag popularity Score];"
S109,109,Context-Aware Answer Selection in Community Question Answering Exploiting Spatial Temporal Bidirectional Long Short-Term Memory,2023,No explicit A&A site,N/A,
S110,110,A novel hybrid CNN-LSTM approach for assessing Stack Overflow post quality,2023,Stack Overflow,"Format features (Paragraph count, List count, and URL count); Textual (Title length, Question length, Body text length, Average word length, Average sentence length Uppercase, Uppercase percentage, Lower case percentage); Community features (number of tags, code-text-ratio); Readability (flesch reading ease, SMOG index, Coleman-Liau index, Flesch-Kincaid grade level, automated readability index, Dale-Chall readability score, Fog scale determines); ","Presentation and Structural Quality [Paragraph count, List count, Uppercase, Uppercase percentage, Lowercase percentage];
Readability and Linguistic Complexity [Title length, Question length, Body text length, Average word length, Average sentence length, Flesch reading ease, SMOG index, Coleman-Liau index, Flesch-Kincaid grade level, Automated readability index, Dale-Chall readability score, Fog scale determines];
Clarity, Relevance, and Supporting Resources [Code-text-ratio];
Post Popularity and Metadata [URL count, Number of tags];"
S111,111,Diverse title generation for Stack Overflow posts with multiple-sampling-enhanced transformer,2023,Stack Overflow,"Readability, Correlation, Diversity, Usability","Readability and Linguistic Complexity [Readability];
Content Accuracy and Informativeness [Correlation, Diversity, Usability];"
S112,112,Dual-interactive fusion for code-mixed deep representation learning in tag recommendation,2023,"StackOverflow, Codereview, Database Administrators, Wordpress",N/A,Tag Relevance and Specificity [tags];
S113,113,KEIC: A Tag Recommendation Framework with Knowledge Enhancement and Interclass Correlation,2023,Baidu Knows; Freecode; Stack Overflow ,N/A,Tag Relevance and Specificity [tags];
S114,114,Textual tag recommendation with multi-tag topical attention,2023,Physics-StackExchange; Academia-StackExchange; Law-StackExchange; AskUbuntu,N/A,Tag Relevance and Specificity [tags];
S115,115,Duplicate Quora Questions Pair Detection using Siamese Bert and Ma-LSTM,2023,Quora,N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
S116,116,Predicting answer acceptability for question-answering system,2023,Stack Overflow,"Textual (Noun, Adjectives, Verbs, Entropy, Difficult words, Flesh reading score, Dale–Chall readability score, Set length, Total words, Wrong words, Lex diversity, Number of one-letter words, Number of two-letter words, Total number of words, Stop words); Non-Textual (User reputation, No. of modifications, Number of positive votes on same domain answers, Number of positive votes on different domain answers, Number of accepted answers on same domain, Number of accepted answers on different domains)","Readability and Linguistic Complexity [Noun, Adjectives, Verbs, Entropy, Difficult words, Flesch reading score, Dale–Chall readability score, Set length, Total words, Wrong words, Lex diversity, Number of one-letter words, number of two-letter words, Total number of words, Stop words];
Community Engagement and Activity [No. of modifications, Number of positive votes on same domain answers, Number of positive votes on different domain answers, Number of accepted answers on same domain, number of accepted answers on different domains];
Reputation and Social Authority [User reputation];"
S117,117,Automatic prediction of rejected edits in Stack Overflow,2023,Stack Overflow,"Text/Code Formatting, Text/Code Modification, Deface Post, Complete Change of Post, Status, Gratitude, Greetings, Reference Modification, Inactive Hyperlink, Signature, Deprecation Note, Duplication Note, Reputation Score","Presentation and Structural Quality [Text/Code Formatting];
Content Accuracy and Informativeness [Deprecation Note, Duplication Note, Reference Modification, Inactive Hyperlink];
Community Engagement and Activity [Text/Code Modification, Deface Post, Complete Change of Post, Status];
Reputation and Social Authority [Reputation Score, Signature];
Affect and Sentiment Analysis [Gratitude, Greetings];"
S118,118,Automated Question Title Reformulation by Mining Modification Logs From Stack Overflow,2023,Stack Overflow,Similarity; Naturalness; Informativeness; ,"Clarity, Relevance, and Supporting Resources [Similarity];
Readability and Linguistic Complexity [Naturalness];
Content Accuracy and Informativeness [Informativeness];"
S119,119,Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT Answers to Stack Overflow Questions,2024,Stack Overflow,"correctness (Factual, Conceptual, Code, and Terminological errors); consistency (Factual Inconsistency, Conceptual Inconsistency, Terminological Inconsistency, Coding Inconsistency, and Different Number of Solutions); comprehensiveness (Comprehensive, Not Comprehensive); conciseness (Redundant, Irrelevant, Excess information); Linguistic Characteristics (Linguistic Styles, Affective Attributes, Cognitive Processes, Drives Attributes, Perceptual Attributes, Informal Attributes); Sentiment Analysis;","Content Accuracy and Informativeness [Correctness (Factual errors, Conceptual errors, Code errors, Terminological errors), Consistency (Factual inconsistency, Conceptual inconsistency, Terminological inconsistency, Coding inconsistency, Different number of solutions), Comprehensiveness (Comprehensive, Not comprehensive), Conciseness (Redundant, Irrelevant, Excess information)];
Readability and Linguistic Complexity [Linguistic Characteristics (Linguistic Styles, Cognitive Processes, Drives Attributes, Perceptual Attributes, Informal Attributes)];
Affect and Sentiment Analysis [Sentiment Analysis];"
S120,120,Identifying Smart Contract Security Issues in Code Snippets from Stack Overflow,2024,Stack Overflow,"Smart Contract Vulnerabilities (Reentrancy (RE), Access Control (AC), Arithmetic Issues (AI), Unchecked Return Values (URV), Denial of Service (DoS), Bad Randomness (BR), Front Running (FR), Time Manipulation, Short Address Attack (SAA)); ","Content Accuracy and Informativeness [Smart Contract Vulnerabilities (Reentrancy (RE), Access Control (AC), Arithmetic Issues (AI), Unchecked Return Values (URV), Denial of Service (DoS), Bad Randomness (BR), Front Running (FR), Time Manipulation, Short Address Attack (SAA))];"
S121,121,Can We Identify Stack Overflow Questions Requiring Code Snippets? Investigating the Cause & Effect of Missing Code Snippets,2024,Stack Overflow,presence of an accepted answer; delay in getting accepted answers; presence of answers; ,"Post Popularity and Metadata [Presence of an accepted answer, Presence of answers];
Response Timing and Interaction [Delay in getting accepted answers];"
S122,122,AUTOGENICS: Automated Generation of Context-Aware Inline Comments for Code Snippets on Programming Q&A Sites Using LLM,2024,Stack Overflow,Accuracy; Adequacy; Conciseness; Usefulness;,"Content Accuracy and Informativeness [Accuracy, Adequacy, Conciseness, Usefulness];"
S123,123,"Reproducibility of issues reported in stack overflow questions: Challenges, impact & estimation",2024,Stack Overflow,reproducibility; Line of Code (LOC); Presence of a Method; Presence of Main Method; Presence of a Class; Parsability; Compilability; Inclusion of Native Library; Inclusion of External Library; Exception Handling; ,"Content Accuracy and Informativeness [Reproducibility, Parsability, Compilability, Presence of a Method, Presence of Main Method, Presence of a Class, Exception Handling];
Readability and Linguistic Complexity [Line of Code (LOC)];
Clarity, Relevance, and Supporting Resources [Inclusion of Native Library, Inclusion of External Library];"
S124,124,PTM4Tag+: Tag recommendation of stack overflow posts with pre-trained models,2024,Stack Overflow,N/A,Tag Relevance and Specificity [tags];
S125,125,Towards Better Answers: Automated Stack Overflow Post Updating,2025,Stack Overflow,relevance;,Content Accuracy and Informativeness [Relevance];
S126,126,Does Editing Improve Answer Quality on Stack Overflow? A Data-Driven  Investigation,2025,Stack Overflow,semantic relevance; code usability; code complexity; security vulnerabilities; code optimization; readability;,"Clarity, Relevance, and Supporting Resources [Semantic relevance];
Content Accuracy and Informativeness [Code usability, Security vulnerabilities, Code optimization];
Readability and Linguistic Complexity [Code complexity, Readability];"
S127,127,Detecting question relatedness in programming Q&A communities via bimodal feature fusion,2025,"Stack Overflow, Chinese Massive Open Online Course (MOOC)",N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
